County,State,CenReg,CenDiv,EMMReg
17111,17,2,3,11
17113,17,2,3,13
17115,17,2,3,13
17117,17,2,3,13
17119,17,2,3,13
17121,17,2,3,13
17123,17,2,3,13
17125,17,2,3,13
17127,17,2,3,13
17129,17,2,3,13
17131,17,2,3,4
17133,17,2,3,13
17135,17,2,3,13
17137,17,2,3,13
17139,17,2,3,13
17141,17,2,3,11
17143,17,2,3,13
17145,17,2,3,13
17147,17,2,3,13
17149,17,2,3,13
17151,17,2,3,13
17153,17,2,3,13
17155,17,2,3,13
17157,17,2,3,13
17159,17,2,3,13
17161,17,2,3,4
17163,17,2,3,13
17165,17,2,3,13
17167,17,2,3,13
17169,17,2,3,13
17171,17,2,3,13
17173,17,2,3,13
17175,17,2,3,13
17177,17,2,3,11
17179,17,2,3,13
17181,17,2,3,13
17183,17,2,3,13
17185,17,2,3,13
17187,17,2,3,13
17189,17,2,3,13
17191,17,2,3,13
17193,17,2,3,13
17195,17,2,3,11
17197,17,2,3,11
17199,17,2,3,13
17201,17,2,3,11
17203,17,2,3,13
18001,18,2,3,11
18003,18,2,3,11
18005,18,2,3,11
18007,18,2,3,11
18009,18,2,3,11
18011,18,2,3,11
18013,18,2,3,11
18015,18,2,3,11
18017,18,2,3,11
18019,18,2,3,11
18021,18,2,3,11
18023,18,2,3,11
18025,18,2,3,11
18027,18,2,3,11
18029,18,2,3,11
18031,18,2,3,11
18033,18,2,3,11
18035,18,2,3,11
18037,18,2,3,11
18039,18,2,3,11
18041,18,2,3,11
18043,18,2,3,11
18045,18,2,3,11
18047,18,2,3,11
18049,18,2,3,11
18051,18,2,3,11
18053,18,2,3,11
18055,18,2,3,11
18057,18,2,3,11
18059,18,2,3,11
18061,18,2,3,11
18063,18,2,3,11
18065,18,2,3,11
18067,18,2,3,11
18069,18,2,3,11
18071,18,2,3,11
18073,18,2,3,11
18075,18,2,3,11
18077,18,2,3,11
18079,18,2,3,11
18081,18,2,3,11
18083,18,2,3,11
18085,18,2,3,11
18087,18,2,3,11
18089,18,2,3,11
18091,18,2,3,11
18093,18,2,3,11
18095,18,2,3,11
18097,18,2,3,11
18099,18,2,3,11
18101,18,2,3,11
18103,18,2,3,11
18105,18,2,3,11
18107,18,2,3,11
18109,18,2,3,11
18111,18,2,3,11
18113,18,2,3,11
18115,18,2,3,11
18117,18,2,3,11
18119,18,2,3,11
18121,18,2,3,11
18123,18,2,3,11
18125,18,2,3,11
18127,18,2,3,11
18129,18,2,3,11
18131,18,2,3,11
18133,18,2,3,11
18135,18,2,3,11
18137,18,2,3,11
18139,18,2,3,11
18141,18,2,3,11
18143,18,2,3,11
18145,18,2,3,11
18147,18,2,3,11
18149,18,2,3,11
18151,18,2,3,11
18153,18,2,3,11
18155,18,2,3,11
18157,18,2,3,11
18159,18,2,3,11
18161,18,2,3,11
18163,18,2,3,11
18165,18,2,3,11
18167,18,2,3,11
18169,18,2,3,11
18171,18,2,3,11
18173,18,2,3,11
18175,18,2,3,11
18177,18,2,3,11
18179,18,2,3,11
18181,18,2,3,11
18183,18,2,3,11
19001,19,2,4,4
19003,19,2,4,4
19005,19,2,4,4
19007,19,2,4,13
19009,19,2,4,4
19011,19,2,4,4
19013,19,2,4,4
19015,19,2,4,4
19017,19,2,4,4
19019,19,2,4,4
19021,19,2,4,4
19023,19,2,4,4
19025,19,2,4,4
19027,19,2,4,4
19029,19,2,4,4
19031,19,2,4,4
19033,19,2,4,4
19035,19,2,4,4
19037,19,2,4,4
19039,19,2,4,4
19041,19,2,4,4
19043,19,2,4,4
19045,19,2,4,4
19047,19,2,4,4
19049,19,2,4,4
19051,19,2,4,13
19053,19,2,4,4
19055,19,2,4,4
19057,19,2,4,4
19059,19,2,4,4
19061,19,2,4,4
19063,19,2,4,4
19065,19,2,4,4
19067,19,2,4,4
19069,19,2,4,4
19071,19,2,4,4
19073,19,2,4,4
19075,19,2,4,4
19077,19,2,4,4
19079,19,2,4,4
19081,19,2,4,4
19083,19,2,4,4
19085,19,2,4,4
19087,19,2,4,4
19089,19,2,4,4
19091,19,2,4,4
19093,19,2,4,4
19095,19,2,4,4
19097,19,2,4,4
19099,19,2,4,13
19101,19,2,4,13
19103,19,2,4,4
19105,19,2,4,4
19107,19,2,4,4
19109,19,2,4,4
19111,19,2,4,4
19113,19,2,4,4
19115,19,2,4,4
19117,19,2,4,4
19119,19,2,4,4
19121,19,2,4,4
19123,19,2,4,4
19125,19,2,4,4
19127,19,2,4,4
19129,19,2,4,4
19131,19,2,4,4
19133,19,2,4,4
19135,19,2,4,4
19137,19,2,4,4
19139,19,2,4,4
19141,19,2,4,4
19143,19,2,4,4
19145,19,2,4,13
19147,19,2,4,4
19149,19,2,4,4
19151,19,2,4,4
19153,19,2,4,4
19155,19,2,4,4
19157,19,2,4,4
19159,19,2,4,4
19161,19,2,4,4
19163,19,2,4,4
19165,19,2,4,4
19167,19,2,4,4
