Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
electric power,CH4,3,midwest reliability council / east,1.05342166666667,0.8926,0.87414,0.901175,0.91436,0.847334005217917,0.82981015832533,0.855474145364392,0.86799050079661
electric power,CO,3,midwest reliability council / east,13.1299616029849,11.1111314558895,10.8521194709839,11.2480344510535,11.4462073363878,0.846242494217469,0.826515705005323,0.856669257014161,0.871762437887529
electric power,CO2,3,midwest reliability council / east,1.05342166666667,0.8926,0.87414,0.901175,0.91436,0.847334005217917,0.82981015832533,0.855474145364392,0.86799050079661
electric power,OC,3,midwest reliability council / east,1.57473652275968,1.3580035424531,1.12863182879393,1.12907885976935,1.1263926231796,0.862368734595196,0.716711533949842,0.716995410629504,0.715289578224568
electric power,PM10.PRI,3,midwest reliability council / east,27.8327363459406,23.9902792499341,18.6087998922841,18.5781594918297,18.5121206880892,0.861944688145372,0.668593977285969,0.667493100962723,0.665120398440064
electric power,PM25.PRI,3,midwest reliability council / east,19.4284983288789,16.7643217984568,13.9336504630047,13.9111182382189,13.8619090293563,0.862872750877406,0.717175883958746,0.716016132731224,0.713483296274717
electric power,VOC,3,midwest reliability council / east,1.52136370776361,1.29695301516398,1.27556279014805,1.30351889947658,1.3161846476498,0.852493725560528,0.838433823311793,0.856809514269759,0.865134774106435
electric power,BC,4,midwest reliability council / west,5.45268087395376,4.79324544701241,4.05288948423357,4.08230585227727,4.07076069801766,0.879062163697984,0.74328382275099,0.748678667731599,0.746561332327878
electric power,CH4,4,midwest reliability council / west,6.61956833333335,5.84706,5.998215,6.18339,6.221835,0.883299288649484,0.906133859181651,0.934107737639486,0.939915518156896
electric power,CO,4,midwest reliability council / west,82.7852197444046,73.0265589191037,75.1362511576829,77.7360471687556,78.327624860968,0.882120735374862,0.907604659257564,0.93900876761289,0.946154701319884
electric power,CO2,4,midwest reliability council / west,6.61956833333335,5.84706,5.998215,6.18339,6.221835,0.883299288649484,0.906133859181651,0.934107737639486,0.939915518156896
electric power,OC,4,midwest reliability council / west,10.3033646661542,9.05302105896537,7.63360891177157,7.70164370871317,7.68485588423725,0.878647058732556,0.740885056397877,0.747488219456357,0.745858865840341
electric power,PM10.PRI,4,midwest reliability council / west,180.9714849127,159.253417513144,124.883273970711,125.813350981103,125.466721645486,0.879991771023854,0.690071554814031,0.695210911496884,0.693295530541787
electric power,PM25.PRI,4,midwest reliability council / west,127.114628206379,111.710766937953,93.9944093039514,94.694548989103,94.4338494543801,0.87881912974314,0.739446046692163,0.744953986219114,0.742903085088367
electric power,VOC,4,midwest reliability council / west,9.73036304004516,8.57047930329842,8.74806036814085,8.96132941503148,8.99514274904472,0.880797485975266,0.89904768528557,0.920965577353205,0.924440610491649
commercial,BC,8,mountain,0.0026204621266035,0.0029147928382,0.0029147928382,0.0029147928382,0.0029147928382,1.11232015475759,1.11232015475759,1.11232015475759,1.11232015475759
residential,BC,8,mountain,0,0,0,0,0,NA,NA,NA,NA
commercial,CH4,8,mountain,0.570874666666666,0.187788,0.195951,0.208289,0.226439,0.328947860125749,0.343246970730295,0.364859420398173,0.396652738721401
residential,CH4,8,mountain,0.417097521666667,0.423512042,0.44759824,0.466054239,0.495295323,1.01537894616996,1.07312610780198,1.11737475000501,1.18748085824357
commercial,CO,8,mountain,19.1994612212883,5.18248969268715,5.46213525955986,5.86693826488121,6.53157912847795,0.269928912741615,0.284494194738312,0.305578276247459,0.340195959313471
residential,CO,8,mountain,105.206191504223,83.2710912543276,72.2266816981978,62.9152759479541,56.7457666801057,0.791503713457636,0.686525010225265,0.598018757721391,0.539376683717592
